"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Glenfiddich 18yo","8.57","0.37","27","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 18yo","8.57","0.49","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 18yo","8.56","0.24","28","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Bourbon Cask Strength","8.56","0.71","7","$$$$","SingleMalt-like","EF","F","Tasmania","Malt"
"Copperworks American Single Malt","8.55","0.25","5","$$$","SingleMalt-like","EF","E","USA","Malt"
"Matsui Sakura Cask","8.55","0.46","3","$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Midleton Very Rare 2015","8.55","0.37","6","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Two Brewers Innovative (all releases)","8.55","0.3","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Mortlach 12yo","8.54","0.56","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove American Oak","8.54","0.4","7","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Balvenie 14yo Carribean Cask","8.53","0.33","26","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Deanston 18yo (Bourbon Finish)","8.53","0.37","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glengoyne 17yo","8.53","0.37","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Pure Malt Red","8.53","0.32","10","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Tyrconnell 10yo Madeira Cask Finish","8.53","0.37","12","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Arran Malt Sauternes Finish","8.52","0.30","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan Bartender's Malt","8.51","0.46","13","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Box (High Coast) The Messenger","8.51","0.43","4","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glenfiddich 14yo Rich Oak","8.51","0.32","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Green Spot","8.51","0.35","24","$$$$","SingleMalt-like","EF","F","Ireland","Malt"
"Teerenpeli Distiller’s Choice RASI","8.51","0.43","3","$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Glen Grant 16yo","8.50","0.33","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 18yo","8.50","0.59","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Jord","8.50","0.73","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Royal Brackla 16yo","8.5","0.3","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glendullan 15yo","8.5","0.32","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Westland American Single Malt (American Oak)","8.5","0.35","19","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Kininvie 23yo (all batches)","8.49","0.40","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Distiller's Reserve","8.49","0.27","10","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Mackmyra Special 05","8.48","0.39","7","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Bruichladdich The Organic 2003","8.47","0.27","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 15yo Fine Oak","8.47","0.50","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 21yo Fine Oak","8.47","0.37","7","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Balblair 16yo","8.46","0.37","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Källa","8.46","0.30","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Paul John Brilliance","8.46","0.34","14","$$$","SingleMalt-like","EF","E","India","Malt"
"Singleton of Glen Ord 15yo","8.46","0.45","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Benromach Organic","8.45","0.55","19","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Solsken","8.45","0.53","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Bunnahabhain Stiuireadair","8.43","0.38","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mortlach Rare Old","8.43","0.38","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 5","8.42","0.32","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Elgin 12yo","8.41","0.22","17","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 12yo Double Cask","8.41","0.36","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Malström (Maelstrom)","8.41","0.78","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra Special 08","8.41","0.27","4","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Nikka Taketsuru 12yo","8.41","0.39","20","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Tullamore Dew 14yo Single Malt","8.41","0.23","3","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Tullibardine 25yo","8.41","0.39","7","$$$$$+","SingleMalt-like","EF","E","Ireland","Malt"
"Bunnahabhain Eirigh Na Greine","8.40","0.42","12","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bushmills 12yo Single Malt","8.40","0.17","3","$$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"GlenDronach 8yo The Hielan","8.40","0.31","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich IPA Cask Finish Experimental Series No. 1","8.40","0.40","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teerenpeli 8yo","8.4","0.4","7","$$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Auchentoshan 18yo","8.39","0.38","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain Darach Ur","8.39","0.31","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Nikka All Malt","8.39","0.21","9","$$","SingleMalt-like","EF","E","Japan","Malt"
"Craigellachie 14yo","8.38","0.28","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Special 10","8.38","0.51","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glenlivet 15yo French Oak","8.37","0.27","22","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Knappogue Castle 14yo Twin Wood","8.37","0.40","7","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Okanagan Spirits Laird of Fintry (all editions)","8.36","0.66","10","$$$","SingleMalt-like","EF","E","Canada","Malt"
"Tomatin 15yo","8.35","0.48","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 12yo Horizons","8.34","0.37","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalmore 12yo","8.34","0.31","26","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 12yo","8.34","0.46","31","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 18yo","8.34","0.13","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1998 (2014)","8.32","0.60","12","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Vintage Reserve (NAS)","8.32","0.35","8","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa 16yo","8.32","0.29","17","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore 12yo","8.31","0.30","22","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Gouden Carolus Single Malt","8.31","0.33","5","$$$$","SingleMalt-like","EF","E","Belgium","Malt"
"Old Pulteney Navigator","8.31","0.37","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 14yo Bourbon Barrel Reserve","8.30","0.29","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 12yo","8.29","0.26","26","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Monkey Shoulder","8.29","0.38","23","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 15yo","8.29","0.21","8","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Double Cask","8.29","0.5","14","$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Teaninich 10yo (F&F)","8.29","0.18","4","","SingleMalt-like","EF","F","Scotland","Malt"
"Teeling Small Batch (Rum Cask Finish)","8.29","0.37","26","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Tullibardine 225 Sauternes Finish","8.29","0.36","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Deveron 12yo","8.28","0.30","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Wemyss Malts Smooth Gentleman","8.28","0.11","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 10yo Fine Oak","8.27","0.34","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glen Ord 12yo","8.27","0.32","6","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Stalk & Barrel Single Malt (All Casks)","8.27","0.41","14","$$$","SingleMalt-like","EF","F","Canada","Malt"
"Deanston 12yo","8.26","0.41","24","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Deveron 18yo","8.26","0.65","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glencadam Origin 1825 (NAS)","8.26","0.09","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Ohishi Brandy Cask","8.26","0.16","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Brackla 12yo","8.26","0.47","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 1989","8.25","0.38","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Amber","8.25","0.44","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Edradour 10yo","8.24","0.68","18","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tobermory 10yo","8.23","0.39","27","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Elders' Reserve","8.22","0.72","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scallywag","8.21","0.55","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathisla 12yo","8.21","0.3","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Sherry Classic","8.20","0.92","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Jakt","8.20","0.54","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glen Breton 21yo","8.19","0.38","3","$$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Two Brewers Release 05 Innovative","8.19","0.93","5","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Glenrothes 12yo","8.18","0.87","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomintoul 12yo Oloroso Sherry","8.18","0.58","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.16","0.09","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Select Cask","8.16","0.38","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Robert Burns Single Malt","8.14","0.59","11","$$","SingleMalt-like","EF","F","Scotland","Malt"
"The Irishman Single Malt (NAS)","8.14","0.41","8","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Tullibardine 1993 Sauternes","8.14","0.36","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 12yo","8.13","0.33","24","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Manse Reserve","8.13","0.93","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Lohin McKinnon Choclolate Malt","8.13","0.68","3","$$$","SingleMalt-like","EF","E","Canada","Malt"
"Glenrothes Vintage 2001 (all bottlings)","8.12","0.59","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 15yo Sauternes Finish","8.10","0.53","3","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Moray 10yo Chardonnay Cask","8.09","0.56","14","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenburgie 10yo (Gordon & MacPhail)","8.09","0.41","8","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenlivet 12yo","8.08","0.33","26","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Garioch Virgin Oak","8.06","0.46","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Miltonduff 10yo (F&F)","8.05","0.44","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown Unité","8.05","0.32","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomatin 12yo","8.04","0.46","23","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullamore Dew 10yo Single Malt","8.02","0.81","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Tullibardine 228 Burgundy Finish","8.02","0.34","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalmore Valour","8.01","0.37","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glendullan 12yo","7.99","0.41","15","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Deveron 10yo (Macduff)","7.95","0.38","5","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Millstone 8yo French Oak","7.95","0.57","4","$$$$","SingleMalt-like","EF","E","Netherlands","Malt"
"Glenlivet Founder's Reserve","7.94","0.35","20","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Santis Edition Sigel","7.91","0.75","8","$$$","SingleMalt-like","EF","E","Switzerland","Malt"
"Scapa Skiren","7.9","0.6","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 12yo","7.89","0.46","12","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Game of Thrones House Tully Singleton Glendullan Select","7.88","0.42","6","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glen Ord Signature","7.86","0.35","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Penderyn Legend","7.84","0.79","9","$$$","SingleMalt-like","EF","F","Wales","Malt"
"Glen Moray 12yo Chenin Blanc","7.83","0.82","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Select Reserve","7.78","0.35","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Penderyn Aur Cymru","7.74","0.62","9","$$$$","SingleMalt-like","EF","E","Wales","Malt"
"Mars Iwai Tradition","7.72","0.84","7","$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Speyside 10yo","7.71","0.64","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 01","7.57","0.43","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glen Moray 16yo Chenin Blanc","7.54","0.64","4","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Santis Edition Säntis","7.5","0.86","7","$$$$","SingleMalt-like","EF","F","Switzerland","Malt"
"McClelland's Speyside Single Malt","6.94","0.82","7","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Kavalan Solist Moscatel Cask","9.11","0.31","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Midleton Barry Crockett Legacy","9.10","0.24","15","$$$$$","SingleMalt-like","GH","G","Ireland","Blend"
"Glen Scotia 25yo","9.07","0.07","3","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Yamazaki Limited Edition 2015","8.99","0.11","3","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Highland Park 17yo The Light","8.98","0.27","7","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Aultmore 21yo","8.93","0.39","3","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Twenty Two 22yo","8.92","0.26","12","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Iskristall","8.92","0.26","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Box (High Coast) The 2nd Step Collection 03","8.91","0.42","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Teeling Silver Reserve 21yo Sauternes Finish","8.89","0.35","10","$$$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Mackinlay's Shackleton Rare Old Highland Malt Discovery edition","8.88","0.41","16","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Vinterdrom","8.87","0.06","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Old Pulteney 21yo","8.87","0.30","22","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Compass Box Double Single","8.86","0.30","9","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Matsui Mizunara Cask","8.86","0.20","4","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Two Brewers Cask Strength (all releases)","8.86","0.19","5","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Two Brewers Release 10 Cask Strength","8.86","0.19","6","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Bruichladdich Laddie Ten 10yo (Second Edition)","8.85","0.25","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Double Single (all editions)","8.85","0.27","11","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Kilkerran 12yo","8.84","0.23","23","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Ten 10yo","8.82","0.26","22","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 21yo","8.82","0.27","12","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Kavalan Distillery Reserve Rum Cask","8.82","0.27","3","$$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Glen Breton Ice 17yo","8.81","0.10","4","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Two Brewers Release 06 Classic","8.81","0.38","5","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Arran Malt Orkney Bere Barley","8.80","0.33","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Benromach 5yo","8.80","0.19","4","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Amrut Cask Strength","8.79","0.41","14","$$$$","SingleMalt-like","GH","G","India","Malt"
"Mackinlay's Shackleton Rare Old Highland Malt (both limited editions)","8.79","0.35","19","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Macallan 17yo Fine Oak","8.78","0.52","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Yamazaki Bourbon Barrel","8.78","0.26","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Bruichladdich Laddie Sixteen 16yo","8.77","0.22","14","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 30yo","8.77","0.25","3","$$$$$+","SingleMalt-like","GH","H","Scotland","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.76","0.37","29","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie Spios Private Edition No 9","8.76","0.24","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie Tusail","8.76","0.32","16","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilkerran Work in Progress Bourbon Wood","8.76","0.42","15","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bladnoch 19yo (Cow label)","8.75","0.21","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Enlightenment","8.75","0.18","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Ichiro's Malt Chichibu On The Way","8.74","0.33","5","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Hakushu 12yo","8.73","0.23","24","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"AnCnoc 16yo","8.72","0.33","16","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 10yo","8.72","0.25","4","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Mackmyra Ten Years 10yo","8.71","0.14","8","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Aultmore 18yo","8.70","0.31","10","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Compass Box Rivals","8.70","0.19","5","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Glenfiddich 26yo Excellence","8.70","0.46","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 14yo","8.69","0.24","26","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Yamazaki 12yo","8.67","0.3","30","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.66","0.37","18","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Kavalan Podium","8.66","0.27","11","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Linkwood 12yo (F&F)","8.66","0.32","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Longrow 10yo","8.66","0.44","16","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Stronachie 18yo","8.66","0.31","8","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra The First Edition (Den Första Utgåvan)","8.65","0.36","18","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"BenRiach Cask Strength","8.63","0.42","10","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Caol Ila 15yo Unpeated 2018","8.63","0.45","16","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki 12yo","8.63","0.25","24","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Glenmorangie The Tarlogan","8.62","0.33","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Westland Garryana","8.62","0.39","12","$$$$$","SingleMalt-like","GH","G","USA","Malt"
"Mackinlay's Shackleton Rare Old Highland Malt Journey edition","8.61","0.24","11","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Two Brewers Classic (all releases)","8.61","0.41","7","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Kilkerran Work in Progress","8.59","0.36","15","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Preludium 03","8.59","0.88","5","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Tullibardine 20yo","8.58","0.31","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Classic Laddie Scottish Barley","8.56","0.33","21","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mars Maltage Cosmo","8.56","0.23","5","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Two Brewers Release 01 Classic","8.56","0.58","5","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Yamazaki Puncheon","8.56","0.36","11","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Arran Malt 10yo","8.55","0.26","26","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Dalwhinnie 15yo","8.55","0.39","27","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Spirit of Hven Urania","8.55","0.5","3","$$$$$+","SingleMalt-like","GH","H","Sweden","Malt"
"BenRiach 10yo","8.54","0.16","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balblair 10yo","8.53","0.26","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"GlenDronach 14yo Virgin Oak","8.52","0.37","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc 12yo","8.51","0.37","27","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Ichiro's Malt Chichibu The Floor Malted","8.51","0.45","7","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Timorous Beastie 10yo","8.51","0.15","3","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton 15yo Battle of the Glen","8.50","0.28","7","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Mackmyra Svensk Ek","8.49","0.43","5","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Old Pulteney Huddart","8.49","0.25","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomatin Cu Bocan Virgin Oak Edition","8.49","0.51","3","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"AnCnoc Peter Arkle (all releases)","8.48","0.30","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bladnoch 10yo (F&F)","8.48","0.71","3","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 15yo","8.48","0.41","15","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glendalough 13yo Single Malt","8.48","0.31","9","$$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Ichiro's Malt Chichibu The First","8.48","0.44","13","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Kavalan King Car Conductor","8.47","0.33","10","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Mackmyra Special 07","8.47","0.55","7","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Balblair 2000","8.46","0.37","13","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Box (High Coast) Quercus III Petraea","8.46","0.49","3","$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Glencadam 10yo","8.46","0.46","14","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Nikka Miyagikyo NAS","8.46","0.26","12","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Inchgower 14yo (F&F)","8.45","0.61","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki NAS","8.45","0.23","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Benromach Traditional","8.44","0.45","13","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Scotia 21yo","8.44","0.28","6","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Sheep Dip Blended Malt","8.44","0.42","15","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Game of Thrones House Stark Dalwhinnie Winter’s Frost","8.43","0.37","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Grant 10yo (G&M)","8.43","0.30","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Macallan 12yo Fine Oak","8.43","0.40","19","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Talisker Skye","8.43","0.31","13","$$","SingleMalt-like","GH","G","Scotland","Malt"
"FEW Single Malt","8.42","0.55","6","$$$$","SingleMalt-like","GH","G","USA","Malt"
"Glen Scotia 18yo","8.42","0.61","5","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Single Malt Whisky","8.42","0.44","19","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"BenRiach 12yo","8.41","0.26","17","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Classic (Edition 01)","8.41","0.55","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Craigellachie 13yo","8.41","0.53","22","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Garioch Founder's Reserve","8.41","0.39","21","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie 10yo","8.41","0.41","29","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Knappogue Castle 12yo","8.41","0.38","16","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Mackmyra The Swedish Whisky (Brukswhisky)","8.40","0.57","14","$$","SingleMalt-like","GH","H","Sweden","Malt"
"Nikka Taketsuru NAS","8.40","0.47","11","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Stronachie 10yo","8.4","0.43","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
