name,rating
Allt A Bhainne 1992 NC2,"
      C+      "
Allt-A-Bhainne 1975 Dun Bheagan,"
      B+      "
Allt-a-Bhainne 1995 Dansk,"
      C      "
Ambassador Deluxe (Late 1970's),"
      B-      "
Amrut,"
      B-      "
Amrut 100,"
      B      "
Amrut 2009 Blackadder ,"
      B-      "
Amrut 2009 Blackadder (Rum Cask Finish),"
      B+      "
Amrut 2009 Single Cask Bourbon Cask,"
      B-      "
Amrut 2009 Single Cask Nation,"
      B+      "
Amrut 2009 Single Cask Port Pipe,"
      B      "
Amrut 2009 Single Cask Sherry,"
      B-      "
Amrut Cask Strength (2010),"
      B+      "
Amrut Cask Strength 2006,"
      A-      "
Amrut Cask Strength Single Malt (US Bottling),"
      B      "
Amrut Double Cask,"
      B      "
Amrut Everest Edition,"
      B-      "
Amrut Fusion,"
      B+      "
Amrut Intermediate Sherry Cask Strength,"
      B      "
Amrut Peated,"
      B-      "
Amrut Peated Cask Strength,"
      B      "
Amrut Portonova,"
      B+      "
Amrut Rye,"
      C+      "
Amrut Single Cask #4668 Bengal Tiger,"
      B-      "
Amrut Single Malt (US Bottling),"
      B-      "
Amrut Two Continents (Second Edition),"
      B      "
An Cnoc 12,"
      B      "
An Oa,"
      B-      "
Ancient Age (1990's),"
      C      "
Ancient Ancient Age (Late 1970's),"
      C+      "
Ancient Ancient Age (The Party Source),"
      C-      "
anCnoc 12,"
      C      "
anCnoc 16,"
      C      "
anCnoc Flaughter ,"
      B-      "
Angel's Envy,"
      B-      "
Angel's Envy Cask Strength 2013 Release,"
      C-      "
Angel's Envy Cask Strength 2015 Release,"
      B      "
Angel's Envy Rye,"
      B-      "
Ankara,"
      B      "
Antique,"
      C-      "
Antique Rye,"
      B-      "
Archives Speyside Blended Malt,"
      C+      "
"Ardbeg ""Cask 94""","
      B-      "
"Ardbeg ""Ourbeg"" Edition XXII / Queen of the Moorlands","
      B      "
"Ardbeg ""The Ardbeggeddon"" 1972 Old Malt Cask for PLOWED","
      A      "
Ardbeg 10,"
      B      "
Ardbeg 17,"
      B+      "
Ardbeg 1967 Signatory Cask 1138,"
      A      "
Ardbeg 1967 Signatory Cask 1141,"
      A      "
Ardbeg 1972 Old Malt Cask,"
      A-      "
Ardbeg 1972 Silver Seal (First Bottling),"
      B+      "
Ardbeg 1973 Single Cask 1143,"
      B+      "
Ardbeg 1974 Connoisseurs Choice 20yo,"
      B+      "
Ardbeg 1974 Connoisseurs Choice NAS,"
      A-      "
Ardbeg 1974 G&M Connoisseurs Choice,"
      B      "
Ardbeg 1974 G&M Connoisseurs Choice,"
      B      "
Ardbeg 1974 Signatory,"
      B+      "
Ardbeg 1974 Signatory Cask 657-658,"
      A-      "
Ardbeg 1974 Spirit of Scotland,"
      B+      "
Ardbeg 1975,"
      A-      "
Ardbeg 1975 Old Malt Cask,"
      B+      "
Ardbeg 1975 Old Malt Cask,"
      A-      "
Ardbeg 1976 Connoisseurs Choice,"
      A-      "
Ardbeg 1976 Single Cask 2398,"
      A      "
Ardbeg 1977,"
      B+      "
Ardbeg 1978,"
      B      "
Ardbeg 1978 Spirit of Scotland,"
      A-      "
Ardbeg 1979 Connoisseurs Choice ,"
      B      "
Ardbeg 1979 Spirit of Scotland,"
      A      "
Ardbeg 1979 Spirit of Scotland (2004),"
      A      "
Ardbeg 1990 for Symposion International Sweden,"
      B+      "
Ardbeg 1991 DL Platinum Old & Rare,"
      B      "
Ardbeg 1991 Malts of Scotland,"
      B      "
Ardbeg 1991 Montgomerie's,"
      B      "
Ardbeg 1991 Murray McDavid,"
      B      "
Ardbeg 1991 Old Malt Cask (Cask 5120),"
      B+      "
Ardbeg 1991 Old Malt Cask (Rum Finish),"
      B      "
Ardbeg 1991 Signatory (Cask 622 & 623),"
      B-      "
Ardbeg 1992 Old Malt Cask,"
      B      "
Ardbeg 1992 Sovereign (for k&l),"
      B      "
Ardbeg 1993 Cadenhead's,"
      B      "
Ardbeg 1994 Murray McDavid,"
      B      "
Ardbeg 1996 Connoisseurs Choice,"
      B      "
Ardbeg 1997 SMWS 33.108,"
      B-      "
Ardbeg 1998 Chieftain's,"
      B      "
Ardbeg 1998 Chieftain's for Binny's,"
      B      "
Ardbeg 2000 Islay 3 ,"
      B      "
Ardbeg 2000 Single Cask 368,"
      B-      "
Ardbeg 2001 SMWS 33.105,"
      C      "
Ardbeg 2005 SMWS 33.112,"
      C+      "
Ardbeg Airigh Nam Beist,"
      A-      "
Ardbeg Alligator,"
      B+      "
Ardbeg Almost There,"
      B+      "
Ardbeg Ar1 Elements of Islay,"
      B+      "
Ardbeg Ar2 Elements of Islay,"
      B+      "
Ardbeg Ardbog,"
      C+      "
Ardbeg Auriverdes,"
      B      "
Ardbeg Blasda,"
      B-      "
Ardbeg Committee Reserve,"
      A-      "
Ardbeg Corryvreckan,"
      B+      "
Ardbeg Corryvreckan Committee Release,"
      B+      "
Ardbeg Dark Cove,"
      B+      "
Ardbeg Day Committee Release,"
      B      "
Ardbeg Feis Ile 2011,"
      B+      "
Ardbeg Galileo,"
      B-      "
Ardbeg Kelpie Committee Release,"
      B+      "
Ardbeg Kildalton 1980,"
      B+      "
Ardbeg Kildalton 1981,"
      A      "
Ardbeg Kildalton 2014 Release,"
      B      "
Ardbeg Lord of the Isles,"
      A-      "
Ardbeg Perpetuum,"
      B-      "
Ardbeg Provenance,"
      A      "
Ardbeg Provenance (3rd Release),"
      A      "
Ardbeg Renaissance,"
      B      "
Ardbeg Rollercoaster,"
      B-      "
Ardbeg SMWS 33.80,"
      B+      "
Ardbeg Still Young ,"
      B      "
Ardbeg Supernova,"
      B+      "
Ardbeg Supernova 2010,"
      B+      "
Ardbeg Supernova 2014,"
      B+      "
Ardbeg Supernova 2019,"
      B+      "
Ardbeg Uigeadail,"
      A-      "
Ardbeg Very Old 30,"
      B+      "
Ardmore 1977 Cadenhead's,"
      B+      "
Ardmore 1977 Murray McDavid,"
      B+      "
Ardmore 1977 Scott's Selection,"
      B+      "
Ardmore 1992 Single Malts of Scotland,"
      B      "
Ardmore 1992 Whisky Doris Cask 4652,"
      B-      "
Ardmore 1996 Gordon & MacPhail,"
      C+      "
Ardmore 2000 Exclusive Malts,"
      B      "
Ardmore 2000 Villa Konthor,"
      C+      "
Ardmore 30,"
      B+      "
Ardmore Traditional Cask,"
      C+      "
Armorik Whisky Breton,"
      C      "
"Arran ""The Peated Arran""","
      C+      "
Arran 10,"
      C+      "
Arran 14 (2010),"
      B-      "
Arran 15th Anniversary,"
      B      "
Arran 1996 Blackadder Raw Cask (Lochranza),"
      C+      "
Arran 1996 Murray McDavid,"
      B-      "
Arran 1996 Vintage,"
      C+      "
Arran 2000 for K&L,"
      B+      "
Arran 2002 SMWS 121.38,"
      B      "
Arran Amarone Finish,"
      B-      "
Arran Chateau Margaux,"
      C+      "
Arran Cream Sherry Finish,"
      B+      "
Arran Founder's Reserve,"
      B      "
Arran Lepanto PX Brandy Finish,"
      B      "
Arran Lochranza Reserve,"
      C      "
Arran Madeira Finish,"
      B      "
Arran Single Cask (Bourbon Cask #2096),"
      B+      "
Arran Single Cask (Bourbon Cask #650),"
      B+      "
Arran SMWS 121.21,"
      B+      "
Arran The Devil's Punch Bowl 1,"
      B-      "
Arrran Single Cask 3rd Bottling,"
      B-      "
Auchentoshan 10,"
      B-      "
Auchentoshan 12,"
      C      "
Auchentoshan 18,"
      B-      "
Auchentoshan 1965 Cask 2497,"
      B      "
Auchentoshan 1966 Sam's Wine & Spirits,"
      A-      "
Auchentoshan 1981 Cadenhead's,"
      B+      "
Auchentoshan 1983 Scott's Selection,"
      B      "
Auchentoshan 1992 Cadenhead's,"
      B+      "
Auchentoshan 2000 Exclusive Casks,"
      B+      "
Auchentoshan 21,"
      B      "
Auchentoshan American Oak,"
      C-      "
Auchentoshan Classic,"
      C      "
Auchentoshan Distillery Cask 2008,"
      D      "
Auchentoshan Three Wood,"
      C+      "
Auchroisk 11 Medoc Finish Chieftain's,"
      D-      "
Auchroisk 1981 The Singleton,"
      C-      "
Auchroisk 1988 DT Octave K&L,"
      B      "
Auchroisk 1990 Signatory (Binny's),"
      B+      "
Auchroisk 1990 SMWS 95.13,"
      B-      "
Auchroisk 1992 Murray McDavid,"
      C-      "
Auchroisk 1995 Chieftain's,"
      C+      "
Auchroisk 20,"
      B      "
Aultmore 2009 Sovereign K&L,"
      B      "
Aultmore 21 Year Old ,"
      B      "
Aultmore Batch 1 That Boutique-y Whisky Company,"
      B-      "
Bain's Cape Mountain Whisky,"
      C+      "
Baker's ,"
      B      "
Bakery Hill Doublewood,"
      B      "
Balblair 10,"
      B      "
Balblair 1978,"
      B-      "
Balblair 1989,"
      C      "
Balblair 1990 Bladnoch Forum,"
      A-      "
Balblair 1990 Dewar Rattray,"
      B+      "
Balblair 1991,"
      B      "
Balblair 1993 Gordon & MacPhail,"
      B+      "
Balblair 1997,"
      B-      "
Balblair 2000,"
      C+      "
Balblair 2001,"
      C      "
Balcones 5th Anniversary Single Barrel,"
      B+      "
Balcones Baby Blue,"
      C+      "
Balcones Brimstone,"
      B      "
Balcones Brimstone Resurrection,"
      B+      "
Balcones Brimstone Texas Scrub Oak Smoked,"
      B      "
Balcones Texas Single Malt Whisky ,"
      B      "
Balcones True Blue Cask Strength Corn Whiskey ,"
      B      "
Ballantine's,"
      C-      "
Ballantine's 17,"
      B      "
Ballantine's 30,"
      B      "
Ballechin #1 Burgundy Matured,"
      B+      "
Ballechin #2 Madeira Matured,"
      B-      "
Ballechin #3 The Port Casks,"
      B-      "
Ballechin #4 The Oloroso Casks,"
      C+      "
Ballechin 2004 The Ultimate,"
      B      "
Ballindalloch 1966 JWWW,"
      A-      "
"Balmenach ""Flying Pigs""","
      A-      "
Balmenach 1974 Connoisseurs Choice,"
      B      "
Balmenach 1978 Cooper's Choice,"
      B      "
Balmenach 1988 Signatory (Binny's),"
      B      "
Balmenach 1988 Signatory (Binny's),"
      B      "
Balmenach 1988 Signatory (for K&L),"
      B+      "
Balmenach 1999 SMWS 48.20,"
      B-      "
Balmenach 2000 Duncan Taylor NC2,"
      C+      "
Balvenie 10 Founder's Reserve,"
      B-      "
Balvenie 12 Classic 1980's,"
      B      "
Balvenie 12 Doublewood,"
      B-      "
Balvenie 12 Signature,"
      C      "
Balvenie 12 Single Barrel,"
      B      "
Balvenie 14 Yr Peat Week,"
      B-      "
Balvenie 15 Single Barrel Cask 10109 ,"
      B+      "
Balvenie 15 Single Barrel Cask 11161,"
      B      "
Balvenie 15 Single Barrel Sherry,"
      B+      "
Balvenie 16 Triple Cask ,"
      C+      "
Balvenie 17 Doublewood,"
      B      "
Balvenie 17 New Oak,"
      B-      "
Balvenie 17 Peated Cask,"
      B      "
Balvenie 17 Rum Cask,"
      B      "
Balvenie 17 Sherry Oak,"
      B      "
Balvenie 21 Portwood,"
      B      "
Balvenie 25 Single Cask,"
      B+      "
Balvenie 30,"
      A-      "
Balvenie 40 Batch 2,"
      A-      "
Balvenie 8 (Circa 1970's),"
      D+      "
Balvenie Caribbean Cask,"
      B      "
Balvenie Islay Cask 17,"
      B      "
Balvenie Peat Week 2002,"
      B      "
Balvenie Peated Triple Cask 14 Year,"
      B      "
Balvenie Portwood 47.6%,"
      B      "
Balvenie Tun 1401 Batch No. 3,"
      A      "
Balvenie Tun 1401 Batch No. 5,"
      B+      "
Balvenie Tun 1401 Batch No. 6,"
      B+      "
Balvenie Tun 1401 Batch No. 9,"
      A-      "
Balvenie Tun 1509 Batch 1,"
      B-      "
Balvenie Tun 1509 Batch 2,"
      B      "
Balvenie Tun 1509 Batch 3,"
      B+      "
Balvenie Vintage Cask 1966 (4289),"
      A-      "
Banff 1975 Duncan Taylor (Rarest) ,"
      B      "
Banff 1975 Duncan Taylor K&L,"
      B      "
Banff 1976 Cadenhead's,"
      B      "
Banff 1980 Signatory Cask Strength,"
      B      "
Bar Code Scotch Whisky,"
      D+      "
Barrell Whiskey Batch 001,"
      B-      "
Barrell Whiskey Batch 002,"
      B+      "
Barterhouse,"
      B      "
Basil Hayden's,"
      C+      "
Bastille 1789,"
      C-      "
Belgian Owl,"
      C      "
Belle Meade Barrel 2525,"
      B+      "
Belle Meade Barrel 2573,"
      B      "
Bellow's Club Bourbon (1970),"
      B-      "
Ben Nevis 13 Port Wood Finish,"
      B+      "
Ben Nevis 1966 Blackadder,"
      B      "
Ben Nevis 1966 for Alembic Classique,"
      B+      "
Ben Nevis 1975 Signatory,"
      B+      "
Ben Nevis 1984 25 yo,"
      B      "
Ben Nevis 1990 Cadenhead's,"
      B+      "
Ben Nevis 1990 La Maison du Whisky,"
      B      "
Ben Nevis 1992 Signatory 16yo,"
      A-      "
Ben Nevis 1992 Signatory 17yo,"
      B+      "
Ben Nevis 1995 Faultline for K&L,"
      C      "
Ben Nevis 1995 Montgomerie's Rare Select,"
      C+      "
Ben Nevis 1996 15 yo,"
      B      "
Ben Nevis 1996 Duncan Taylor NC2,"
      B-      "
Ben Nevis 1996 First Cask,"
      B+      "
Ben Nevis 1996 Kintra,"
      B-      "
Ben Nevis 1996 Whisky Galore (The Party Source),"
      B-      "
Ben Nevis 1996 Whisky-Fassle,"
      B+      "
Ben Nevis 1998 Carn Mor,"
      B-      "
Ben Nevis 1998 DT Octave K&L,"
      B-      "
Ben Nevis 25,"
      B+      "
Ben Wyvis 1968 Signatory,"
      B+      "
Bender's Rye,"
      B-      "
BenRiach 10 ,"
      B-      "
BenRiach 10 Curiositas,"
      B      "
BenRiach 12 ,"
      C+      "
BenRiach 15 Dark Rum Finish,"
      B+      "
BenRiach 15 Madeira Finish,"
      B      "
BenRiach 15 Pedro Ximenez Finish,"
      B      "
BenRiach 15 Tawny Port Finish,"
      C+      "
BenRiach 16,"
      B-      "
Benriach 17 Septendecim,"
      C+      "
BenRiach 17 Single Cask Nation,"
      B      "
BenRiach 1968 Duncan Taylor,"
      B+      "
BenRiach 1969 Connoisseurs Choice,"
      A-      "
BenRiach 1970 Cask 4005,"
      A-      "
BenRiach 1976 (for The Whisky Fair),"
      A-      "
BenRiach 1976 (La Maison Du Whisky) ,"
      A-      "
BenRiach 1976 Cask #3032,"
      B+      "
BenRiach 1976 Cask #6942,"
      B+      "
BenRiach 1976 for The Nectar,"
      A-      "
Benriach 1979 Adelphi,"
      B+      "
BenRiach 1984 Cask #1049 (K&L Exclusive),"
      B+      "
BenRiach 1986 Cadenheads,"
      B      "
BenRiach 1986 for PLOWED,"
      B+      "
BenRiach 1990 Single Malts of Scotland,"
      B      "
BenRiach 1991 Gaja Barolo Finish (D&M),"
      B+      "
BenRiach 1994 (K&L),"
      B-      "
BenRiach 1994 Cask 286,"
      B-      "
Benriach 1994 Cask 7352,"
      B+      "
"BenRiach 1994 Limited Release, Cask 804","
      B      "
BenRiach 1994 Signatory Chateau D'Yquem Finish (Binny's),"
      A-      "
BenRiach 1995 Cask 7164,"
      B      "
BenRiach 1995 Cask 7165,"
      B-      "
BenRiach 1995 PX Sherry Puncheon ,"
      B+      "
BenRiach 20 (circa 2008),"
      C+      "
BenRiach 20 (circa 2012),"
      B      "
BenRiach 21 Authenticus,"
      B      "
Benriach 35,"
      B+      "
BenRiach Birnie Moss,"
      B-      "
BenRiach Heart of Speyside,"
      C      "
BenRiach Horizons,"
      C      "
Benrinnes 11yr Chieftain's Tokaji/Tokay Finish,"
      B      "
Benrinnes 12 The Manager's Dram,"
      C+      "
Benrinnes 15yr Flora & Fauna,"
      B      "
Benrinnes 1972 Signatory,"
      A-      "
Benrinnes 1973 Connoisseur's Choice,"
      B+      "
Benrinnes 1979 Scott's Selection,"
      B+      "
Benrinnes 1984 Chieftain's,"
      B-      "
Benrinnes 1985 The Bottlers,"
      B+      "
Benrinnes 1988 Cadenhead's,"
      B      "
Benrinnes 1990 Signatory,"
      B      "
Benrinnes 1997 Signatory Vintage,"
      B      "
Benrinnes 1999 SMWS 36.46,"
      B      "
Benrinnes 20 Time II,"
      B      "
Benrinnes Batch 1 That Boutique-y Whisky Company,"
      B-      "
Benrinnes SMWS 36.37,"
      B      "
Benromach 10,"
      B      "
Benromach 19 Year Old 1978 Rare Malts,"
      B      "
Benromach 1976 Cadenhead's,"
      B-      "
Benromach 1978 Glenhaven,"
      B      "
Benromach 1978 Scott's Selection 22 yo,"
      B      "
Benromach 1978/1997 Scott's Selection,"
      B      "
Benromach 1982 Gordon & MacPhail,"
      B      "
Benromach 2007 Sassicaia,"
      B-      "
Benromach 21,"
      B      "
Benromach 25,"
      B-      "
Benromach Imperial Proof,"
      B      "
Benromach Organic,"
      C      "
Benromach Peat Smoke,"
      B      "
Benromach Traditional,"
      B      "
Berkshire Bourbon,"
      C      "
Bernheim Original ,"
      B-      "
Berry Bros. & Rudd All Malt (1980s),"
      B      "
Big Bottom Bourbon 3 yo,"
      C+      "
Big Bottom Port Finished Bourbon,"
      C      "
Big Peat,"
      B      "
Big Peat - Christmas 2011,"
      B-      "
Bitter Truth Rye,"
      B+      "
Black and White (1970's),"
      C+      "
Black Bottle 10,"
      B      "
Black Bowmore 1st Edition,"
      A-      "
Black Bull 12,"
      B-      "
Black Bull 21,"
      C+      "
Black Bull 30,"
      B+      "
Black Bull 40,"
      B-      "
Black Bull Kyloe ,"
      C-      "
Black Maple Hill 11,"
      B+      "
Black Maple Hill 14 Cask 152,"
      B+      "
Black Maple Hill 16 Small Batch,"
      B      "
Black Maple Hill 18 Rye,"
      B      "
Black Maple Hill 21 Cask 2,"
      B+      "
Black Maple Hill 21 Cask 5,"
      B      "
Black Maple Hill 21 Cask 7,"
      A      "
Black Maple Hill 23 Single Barrel Rye ,"
      B+      "
Black Maple Hill Small Batch,"
      B+      "
Blade and Bow 22 year old,"
      B-      "
Bladnoch 11 (K&L),"
      C+      "
Bladnoch 15,"
      B-      "
Bladnoch 1984 Scott's Selection,"
      B      "
Bladnoch 1986 Connoisseurs Choice,"
      B-      "
Bladnoch 1987 Scott's Selection,"
      C      "
Bladnoch 1991 McGibbon's Provenance,"
      B-      "
Bladnoch 1992 Cadenhead,"
      B      "
Bladnoch 1992 Chieftain's K&L,"
      B+      "
Bladnoch 1992 Nectar of the Daily Dram,"
      B      "
Bladnoch 1993 Signatory (Binny's),"
      B      "
Bladnoch 23 (K&L),"
      B+      "
Bladnoch 50.42 SMWS,"
      B+      "
Bladnoch 9 Lightly Peated Cask 338,"
      B+      "
Bladnoch Adela,"
      B      "
Bladnoch SMWS 50.35,"
      A-      "
Blair Athol 1988 Signatory for K&L 26yr,"
      B      "
Blair Athol 1988 Signatory K&L 25yr,"
      B      "
Blair Athol 1988 Van Wees the Ultimate,"
      B+      "
Blair Athol 1989 Cadenheads,"
      B-      "
Blair Athol 1995 Old Malt Cask,"
      B      "
Blair Athol 8 (Circa 1980's),"
      C-      "
Blair Athol Flora and Fauna,"
      B-      "
Blair Athol Manager's Choice,"
      B+      "
Blair Atholl 1966 Cadenhead's,"
      B-      "
Blairfindy (Glenfarclas) 16 Master of Malt,"
      B      "
Blairfindy 1976 Blackadder,"
      B+      "
Blanton's Paris by Day,"
      B+      "
Blanton's Paris by Night,"
      B+      "
Blanton's Single Barrel,"
      B      "
Blanton's Straight from the Barrel,"
      A-      "
Blanton's Straight from the Barrel #68,"
      B      "
Blended Whisky Batch 1 That Boutique-y Whisky Company,"
      B+      "
"Blood Oath Bourbon, Pact No. 1","
      B      "
Blue Moon Edward Young Deluxe,"
      C      "
Bohemian Bonfire,"
      B-      "
Bonded Beam Decanter (1960s),"
      B-      "
Booker's 25th Anniversary,"
      B      "
Booker's Rye,"
      B      "
Bookers,"
      B-      "
Bourbon de Luxe,"
      D+      "
Bowen's Whiskey,"
      C-      "
Bowmore 11 years old Feis Ile,"
      B      "
Bowmore 12,"
      C+      "
Bowmore 12 (1980s dumpy),"
      B      "
Bowmore 12 (early 2000's),"
      B-      "
Bowmore 16 1989 Cask Strength,"
      B+      "
Bowmore 16 1990 Cask Strength,"
      B+      "
Bowmore 16 1991 Cask Strength,"
      B+      "
Bowmore 17,"
      B-      "
Bowmore 18,"
      B      "
Bowmore 18 Trader Joe's,"
      D+      "
Bowmore 1968,"
      A      "
Bowmore 1968 Celtic Heartlands,"
      B+      "
Bowmore 1968 Signatory Vintage,"
      A      "
Bowmore 1969 Duncan Taylor,"
      A-      "
Bowmore 1970 Signatory,"
      A-      "
Bowmore 1971,"
      A      "
Bowmore 1982,"
      B+      "
Bowmore 1982 Duncan Taylor,"
      C+      "
Bowmore 1982 Samaroli Coilltean,"
      D      "
Bowmore 1983 Old Malt Cask,"
      B+      "
Bowmore 1984 Cadenhead's,"
      B-      "
Bowmore 1984 Mackillop's Choice,"
      B-      "
Bowmore 1987 Moon Import,"
      B      "
Bowmore 1989 A.D. Rattray,"
      C+      "
Bowmore 1989 Liquid Sun,"
      B      "
Bowmore 1990 A.D. Rattray,"
      B      "
Bowmore 1990 Burns Malt,"
      B      "
Bowmore 1990 Scottish Castles,"
      B      "
Bowmore 1991 A.D. Rattray (Cask 2061),"
      B+      "
Bowmore 1991 Dewar Rattray (#2055),"
      B+      "
Bowmore 1991 Dewar Rattray (#2062),"
      B      "
Bowmore 1991 Queen of the Moorlands,"
      B+      "
Bowmore 1993 Perfect Dram,"
      B+      "
Bowmore 1995 Craftmen's Collection,"
      A-      "
Bowmore 1995 Murray McDavid,"
      B      "
Bowmore 1995 Single Malts of Scotland,"
      B+      "
Bowmore 1995 Wanted - The Loving Brothers,"
      C      "
Bowmore 1996 Faultline for K&L,"
      B      "
Bowmore 1996 SMWS 3.294,"
      B+      "
Bowmore 1997 Signatory,"
      B-      "
Bowmore 1997 Whisky-Fassle (Duckmore),"
      B+      "
Bowmore 1998 Chenin Blanc Finish,"
      B      "
Bowmore 1998 Murray McDavid (Quarts de Chaume Chenin Finish),"
      A-      "
Bowmore 1999 Signatory 13 yo,"
      B      "
Bowmore 2000 BBR (Whisky Live Leiden),"
      C+      "
Bowmore 2000 Cadenhead's,"
      B+      "
Bowmore 2000 Malts of Scotland,"
      B      "
Bowmore 2000 Old Malt Cask (La Maison Du Whisky),"
      B-      "
Bowmore 2001 Hepburn's Choice,"
      B      "
Bowmore 2001 Signatory (K&L),"
      B      "
Bowmore 2002 Exclusive Casks,"
      B      "
Bowmore 2002 Exclusive Malts (for K&L),"
      B      "
Bowmore 2002 The Last Red Indian Chief,"
      B      "
Bowmore 2002 The Ultimate,"
      B      "
Bowmore 21 (1972),"
      A      "
Bowmore 21 (1972) Single Cask,"
      A-      "
Bowmore 21 (1988) Port Matured,"
      D      "
Bowmore 21 (1989) Silver Seal,"
      B+      "
Bowmore 21 (circa 1996),"
      D-      "
Bowmore 21 (circa 2001),"
      C+      "
Bowmore 22 (Ceramic),"
      B+      "
Bowmore 25 (c. 2000 ceramic),"
      B      "
Bowmore 25 (Previous Release),"
      A-      "
Bowmore 3.169 SMWS,"
      B      "
"Bowmore 30 ""Seadragon""","
      B+      "
Bowmore 8 (Murray McDavid Chenin Finish),"
      B+      "
Bowmore Battlehill,"
      C+      "
Bowmore Bicentenary,"
      A      "
Bowmore Black 1964 2nd Edition,"
      A-      "
Bowmore Claret,"
      B-      "
Bowmore Darkest,"
      C-      "
Bowmore Darkest 15,"
      B-      "
Bowmore Devil's Casks,"
      B+      "
"Bowmore Dorus Mor, Batch 1","
      B+      "
Bowmore Dusk,"
      C      "
Bowmore Laimrig,"
      B+      "
Bowmore Legend,"
      C+      "
Bowmore Maltmens Selection,"
      B+      "
Bowmore SMWS 3.169 ,"
      B      "
Bowmore Springtide,"
      B      "
Bowmore Tempest Batch 3,"
      C+      "
Bowmore The Devil's Casks II,"
      B      "
Bowmore Voyage,"
      B+      "
Bowmore Wilson & Morgan 16,"
      B+      "
Braes of Glenlivet 1974 Signatory,"
      B+      "
Braes of Glenlivet 1979 Signatory,"
      B      "
Braes of Glenlivet 1979 Signatory,"
      B+      "
Braes of Glenlivet 1987 Cadenhead,"
      B-      "
Braes of Glenlivet 1987 Cadenhead's,"
      C-      "
Braes of Glenlivet 1989 Duncan Taylor Cask 1070,"
      B-      "
Braes of Glenlivet SMWS 113.14,"
      B+      "
Braeval 18 Year (The Exclusive Malts),"
      B+      "
Breaker Bourbon,"
      B-      "
Breaking & Entering Bourbon,"
      C+      "
Brechin 1976 Old Malt Cask,"
      D      "
Breckenridge Bourbon,"
      B      "
Brenne,"
      C+      "
Brenne 10,"
      B-      "
"Brora ""Brorageddon"" 1972 Old Malt Cask for PLOWED","
      A      "
Brora 1972 Connoisseurs Choice,"
      B      "
Brora 1972 Spirit of Scotland,"
      B+      "
Brora 1975 Rare Malts,"
      A-      "
Brora 1977 Rare Malts,"
      A-      "
Brora 1978 SMWS 61.6,"
      A-      "
